codigo_disciplina,nome_disciplina,creditos,codigo_turma,professor,sala,vagas,dia,inicio,fim
INF01017,APRENDIZADO DE MÁQUINA,4,U,MARIANA RECAMONDE MENDOZA GUERREIRO,AUDITÓRIO 0 - Campus: Vale,12,QUINTA,10:30,12:10
INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,4,A,FERNANDA GUSMAO DE LIMA KASTENSMIDT,AUDITÓRIO 1 - Campus: Vale,30,SEGUNDA,10:30,12:10
INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,4,A,FERNANDA GUSMAO DE LIMA KASTENSMIDT,Laboratório de Ensino 104 - 43413 - Campus: Vale,30,QUARTA,10:30,12:10
INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,4,B,SERGIO LUIS CECHIN,SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale,20,TERCA,15:30,17:10
INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,4,B,SERGIO LUIS CECHIN,SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale,20,QUINTA,15:30,17:10
INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,4,C,MARCELO DE OLIVEIRA JOHANN,SALA DE AULA 118 - PRÉDIO 43425 - Campus: Vale,20,TERCA,10:30,12:10
INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,4,C,MARCELO DE OLIVEIRA JOHANN,Laboratório de Ensino 104 - 43413 - Campus: Vale,20,QUINTA,10:30,12:10
INF01112,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,4,A,Arthur Francisco Lorenzon,AUDITÓRIO 0 - Campus: Vale,25,SEGUNDA,13:30,15:10
INF01112,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,4,A,Arthur Francisco Lorenzon,AUDITÓRIO 0 - Campus: Vale,25,QUARTA,13:30,15:10
INF01112,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,4,B,JOAO CESAR NETTO,AUDITÓRIO 0 - Campus: Vale,25,TERCA,15:30,17:10
INF01112,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,4,B,JOAO CESAR NETTO,AUDITÓRIO 0 - Campus: Vale,25,QUINTA,15:30,17:10
INF01191,ARQUITETURAS AVANÇADAS DE COMPUTADORES,4,U,ANTONIO CARLOS SCHNEIDER BECK FILHO,SALA DE AULA 113 - PRÉDIO 43425 - Campus: Vale,10,SEGUNDA,8:30,10:10
INF01191,ARQUITETURAS AVANÇADAS DE COMPUTADORES,4,U,ANTONIO CARLOS SCHNEIDER BECK FILHO,SALA DE AULA 113 - PRÉDIO 43425 - Campus: Vale,10,QUARTA,8:30,10:10
INF01146,AVALIAÇÃO DE DESEMPENHO,4,U,LUCAS MELLO SCHNORR,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,10,SEGUNDA,8:30,10:10
INF01146,AVALIAÇÃO DE DESEMPENHO,4,U,LUCAS MELLO SCHNORR,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,10,QUARTA,8:30,10:10
INF05018,BIOLOGIA COMPUTACIONAL,4,U,MARCIO DORN,Sala de Aula 106 - 43413 - Campus: Vale,10,TERCA,13:30,15:10
INF05018,BIOLOGIA COMPUTACIONAL,4,U,MARCIO DORN,Sala de Aula 106 - 43413 - Campus: Vale,10,QUINTA,13:30,15:10
INF01205,CAD PARA SISTEMAS DIGITAIS,4,U,ANDRE INACIO REIS,Sala de Aula 108 - 43413 - Campus: Vale,15,TERCA,13:30,15:10
INF01205,CAD PARA SISTEMAS DIGITAIS,4,U,ANDRE INACIO REIS,Sala de Aula 108 - 43413 - Campus: Vale,15,QUINTA,13:30,15:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,A1,JACQUES AVELINE LOUREIRO DA SILVA,Sala 101 - Campus: Vale,25,SEGUNDA,8:30,10:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,A1,JACQUES AVELINE LOUREIRO DA SILVA,Sala 101 - Campus: Vale,25,QUARTA,8:30,10:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,A1,JACQUES AVELINE LOUREIRO DA SILVA,Sala 101 - Campus: Vale,25,SEXTA,8:30,10:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,A2,JOSE AFONSO BARRIONUEVO,Sala 103 - Campus: Vale,5,SEGUNDA,8:30,10:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,A2,JOSE AFONSO BARRIONUEVO,Sala 103 - Campus: Vale,5,QUARTA,8:30,10:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,A2,JOSE AFONSO BARRIONUEVO,Sala 103 - Campus: Vale,5,SEXTA,8:30,10:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,B2,JOAO BATISTA DA PAZ CARVALHO,43123-205-Instituto de Química - Sala de Aula - Campus: Vale,8,SEGUNDA,10:30,12:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,B2,JOAO BATISTA DA PAZ CARVALHO,43123-205-Instituto de Química - Sala de Aula - Campus: Vale,8,QUARTA,10:30,12:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,B2,JOAO BATISTA DA PAZ CARVALHO,43123-205-Instituto de Química - Sala de Aula - Campus: Vale,8,SEXTA,10:30,12:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,D2,JOAO MATHEUS JURY GIRALDI,Sala 102 - Campus: Vale,15,SEGUNDA,15:30,17:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,D2,JOAO MATHEUS JURY GIRALDI,Sala 102 - Campus: Vale,15,QUARTA,15:30,17:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,D2,JOAO MATHEUS JURY GIRALDI,Sala 102 - Campus: Vale,15,SEXTA,15:30,17:10
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,A1,JOANA MOHR,Sala 102 - Campus: Vale,55,SEGUNDA,8:30,10:10
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,A1,JOANA MOHR,Sala 102 - Campus: Vale,55,QUARTA,8:30,10:10
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,A1,JOANA MOHR,Sala 102 - Campus: Vale,55,SEXTA,8:30,10:10
MAT01032,CÁLCULO NUMÉRICO A,4,U,RUDNEI DIAS DA CUNHA,F115 Laboratório de Informática - Campus: Vale,50,TERCA,13:30,15:10
MAT01032,CÁLCULO NUMÉRICO A,4,U,RUDNEI DIAS DA CUNHA,F115 Laboratório de Informática - Campus: Vale,50,QUINTA,13:30,15:10
INF01058,CIRCUITOS DIGITAIS,4,A,Mateus Grellert da Silva,Sala de Aula 108 - 43413 - Campus: Vale,14,TERCA,10:30,12:10
INF01058,CIRCUITOS DIGITAIS,4,A,Mateus Grellert da Silva,Sala de Aula 108 - 43413 - Campus: Vale,14,QUINTA,10:30,12:10
INF01058,CIRCUITOS DIGITAIS,4,B,RENATO PEREZ RIBAS,Sala de Aula 108 - 43413 - Campus: Vale,13,SEGUNDA,8:30,10:10
INF01058,CIRCUITOS DIGITAIS,4,B,RENATO PEREZ RIBAS,Sala de Aula 108 - 43413 - Campus: Vale,13,QUARTA,8:30,10:10
