codigo_disciplina,nome_disciplina,creditos,codigo_turma,professor,sala,vagas,dia,inicio,fim
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,H,CARLA MARIA DAL SASSO FREITAS,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,10,TERCA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,H,CARLA MARIA DAL SASSO FREITAS,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,10,QUINTA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,H,CARLA MARIA DAL SASSO FREITAS,SALA DE AULA 104 - PRÉDIO 43425 - Campus: Vale,10,SEXTA,15:30,17:10
INF01017,APRENDIZADO DE MÁQUINA,4,U,MARIANA RECAMONDE MENDOZA GUERREIRO,AUDITÓRIO 0 - Campus: Vale,20,TERCA,10:30,12:10
INF01017,APRENDIZADO DE MÁQUINA,4,U,MARIANA RECAMONDE MENDOZA GUERREIRO,AUDITÓRIO 0 - Campus: Vale,20,QUINTA,10:30,12:10
INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,4,A,FERNANDA GUSMAO DE LIMA KASTENSMIDT,AUDITÓRIO 1 - Campus: Vale,8,SEGUNDA,10:30,12:10
INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,4,A,FERNANDA GUSMAO DE LIMA KASTENSMIDT,Laboratório de Ensino 104 - 43413 - Campus: Vale,8,QUARTA,10:30,12:10
INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,4,B,SERGIO LUIS CECHIN,SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale,20,TERCA,15:30,17:10
INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,4,B,SERGIO LUIS CECHIN,SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale,20,QUINTA,15:30,17:10
INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,4,C,MARCELO DE OLIVEIRA JOHANN,SALA DE AULA 118 - PRÉDIO 43425 - Campus: Vale,20,TERCA,10:30,12:10
INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,4,C,MARCELO DE OLIVEIRA JOHANN,Laboratório de Ensino 104 - 43413 - Campus: Vale,20,QUINTA,10:30,12:10
INF01112,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,4,A,Arthur Francisco Lorenzon,AUDITÓRIO 0 - Campus: Vale,15,SEGUNDA,13:30,15:10
INF01112,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,4,A,Arthur Francisco Lorenzon,AUDITÓRIO 0 - Campus: Vale,15,QUARTA,13:30,15:10
INF01112,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,4,B,JOAO CESAR NETTO,AUDITÓRIO 0 - Campus: Vale,15,TERCA,15:30,17:10
INF01112,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,4,B,JOAO CESAR NETTO,AUDITÓRIO 0 - Campus: Vale,15,QUINTA,15:30,17:10
INF01191,ARQUITETURAS AVANÇADAS DE COMPUTADORES,4,U,ANTONIO CARLOS SCHNEIDER BECK FILHO,SALA DE AULA 113 - PRÉDIO 43425 - Campus: Vale,20,SEGUNDA,8:30,10:10
