codigo_disciplina,nome_disciplina,creditos,codigo_turma,professor,sala,vagas,dia,inicio,fim
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,B1,JOSE AFONSO BARRIONUEVO,Sala 101 - Campus: Vale,25,QUARTA,10:30,12:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,B1,JOSE AFONSO BARRIONUEVO,Sala 101 - Campus: Vale,25,SEXTA,10:30,12:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,D2,JULIO CESAR LOMBALDO FERNANDES,Sala 102 - Campus: Vale,10,SEGUNDA,15:30,17:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,D2,JULIO CESAR LOMBALDO FERNANDES,Sala 102 - Campus: Vale,10,QUARTA,15:30,17:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,D2,JULIO CESAR LOMBALDO FERNANDES,Sala 102 - Campus: Vale,10,SEXTA,15:30,17:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,D3,Felipe Crivellaro Minuzzi,,5,TERCA,15:30,18:00
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,D3,Felipe Crivellaro Minuzzi,,5,QUINTA,15:30,18:00
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,A1,JOANA MOHR,Sala 104 - Campus: Vale,2,SEGUNDA,8:30,10:10
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,A1,JOANA MOHR,Sala 104 - Campus: Vale,2,QUARTA,8:30,10:10
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,A1,JOANA MOHR,Sala 104 - Campus: Vale,2,SEXTA,8:30,10:10
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,B1,JACQUES AVELINE LOUREIRO DA SILVA,Sala 104 - Campus: Vale,17,SEGUNDA,10:30,12:10
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,B1,JACQUES AVELINE LOUREIRO DA SILVA,Sala 104 - Campus: Vale,17,QUARTA,10:30,12:10
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,B1,JACQUES AVELINE LOUREIRO DA SILVA,Sala 104 - Campus: Vale,17,SEXTA,10:30,12:10
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,C1,JULIANA SARTORI ZIEBELL,Sala 103 - Campus: Vale,8,SEGUNDA,13:30,15:10
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,C1,JULIANA SARTORI ZIEBELL,Sala 103 - Campus: Vale,8,QUARTA,13:30,15:10
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,C1,JULIANA SARTORI ZIEBELL,Sala 103 - Campus: Vale,8,SEXTA,13:30,15:10
